Cognateset_ID,SourceCognateset_ID,Comment,Source_languoid,Source_form,Parallel_loan_event
6822,,,Germanic,*handjan,false
124,,,Arabic,,true
9545,7803,,English,,false
6828,,,Germanic,,false
6827,,,Germanic,*sunni-,false
6823,,,Old Low Franconian,sûr,false
6847,,,Germanic,harpa,false
6967,115,,Sanskrit,,false
9546,2927,,English,smooth,false
6873,,,Russian?,,false
8226,3381,,Persian,,true
8504,7466,,Persian and other Iranic languages,dum(b),true
9547,,,English,serpent,false
7182,,,West Caucasian,,false
8060,,"A loanword of uncertain origin, cf. Breton sebon, German Seife.",,,false
5658,3828,,Latin,lūdere,false
6953,,,Arabic,,true
7091,,,Hurrian,,false
7089,,,Low German,pote,false
7008,,,South Caucasian,,false
7166,,,Turkic,,false
5684,3264,,Iranian,*wīδikā-,false
7173,,,East Caucasian,,false
3408,,,Arabic,,false
7165,,,East Caucasian,,false
7159,,,Russian,лытка / lytka,false
7200,,,Persian,sine,true
7178,,,South Caucasian,,false
7147,,,Turkic or West Caucasian,,false
7275,,,English,hit,false
596,,,Syriac,Syr. mezzē 'crines parvi' (Olsen 1999: 932),false
143,,,Arabic,fikr,true
7286,,,Old French,,false
7285,,,Old French,estanc,false
7337,,,French,cacher,false
7298,,,Old French,flor,false
7410,,,Persian,nāf,true
6624,6458,,Sanskrit,,true
9553,5231,,English,carry,false
8729,,,Persian,,false
1278,,,Greek: Ancient,κρόκος / krókos,false
5512,207,,Low German,stof,true
3825,,,Latin,floccus,false
5555,2268,,Persian,nāxun,true
7375,,,Persian,āsmān,true
8228,720,,Sanskrit,párvata-,true
2324,,,,,true
7347,930,,French,ciel,false
8730,8731,,Dardic,,false
7457,,,Tajik,oftob,true
7409,,,Sanskrit,nābhi-,true
7434,,,Persian,bārish,true
5155,,,(Low) German,"Klotz, kloz",true
7435,,,Sanskrit,vr̥ṣṭi-,false
7519,,,Germanic,*blanka-,false
7436,,,Persian,rūd,false
7282,6528,,French,sucré,false
6236,,,Turkish,çayır,false
8172,,,Persian,,false
6218,,,Arabic,,false
3072,,,Sanskrit,vānta-,false
8173,,,Arabic,,false
5573,227,,Latin,frūctus,false
6400,,,Middle High German,,false
5790,,,Sanskrit,,false
2162,2877,,Latin,putris,false
3217,,,East Caucasian,,false
5296,,,Middle Low German,slichts,false
5572,46,,Persian,,true
4364,227,,Latin,frūctus,false
4937,894,denominative verb from the Old French noun chace 'hunt' (12th cent.),Old French,chace,false
7099,227,,Latin,frūctus,true
9561,,,,,false
7748,,,Turkish<Persian,bed,false
5576,705,,Persian,sæbz,true
5738,126,,Persian,barf,true
7559,,,Persian,زمین,true
5644,84,,,nazdīk,true
6396,,,Old High German,,false
7764,,,Turkish,kuyruk,false
4387,958,,Late Latin,*ascella,false
8174,,,Arabic,,false
9563,,,,,false
3131,,,,,false
6198,9470,,Old French,rivere,true
5735,,,Persian,,true
7671,,,Arabic,,false
9565,,,,,false
3857,,,Latin,"cūpa, cuppa",false
7606,,,Arabic (variety),,false
7676,,cf. Modern Arabic šadara 'tree',Arabic,,false
8176,,,Persian,,false
7597,,,Dravidian,,true
5737,302,,Middle Low German,slange,false
7612,,looks like PIE pter,Arabic,,true
7627,,,Greek: Ancient,πλατύς / platús,false
7709,,,Arabic,,false
7976,,,English,,false
5328,1305,,Old Norse,bǫrkr,false
7990,,,Latin,sonus,false
7708,,,Arabic,,false
7610,,probably borrowed before *rd > l (i.e. Old Persian),Persian,dil,true
5649,913,Acc. Sg.,Latin,veterem,false
9568,,,Greek: Ancient,βορέας / boréas,false
7691,,,Arabic,,false
7641,,,Hattic,,false
6767,,,English,savour,false
7667,,,Arabic,,false
8179,,,Persian,,true
7687,,,Arabic,,false
7634,,,Slovenian,modrak,false
